MyUnknownColumn,Make,Model,Variant,Complete Name,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Height,Length,Width,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Seating_Capacity,Type,Airbags,Kerb_Weight,Front_Track,Rear_Track,Power,Torque,Wheelbase,Minimum_Turning_Radius
111,Maruti Suzuki,Celerio,Vxi Cng Mt,Maruti Suzuki Celerio Vxi Cng Mt,530000,998,3,4,FWD,In-line,BS VI,35,CNG,Hatchback,1560,3600,1600,5,31.79,5,165,5,Manual,2,810,1420,1410,85.13,22.29,2425,4.7
241,Maruti Suzuki,Dzire,Ldi,Maruti Suzuki Dzire Ldi,666622,1248,4,4,FWD,In-line,BS IV,37,Diesel,Sedan,1515,3995,1735,4,28.4,5,163,5,Manual,2,955,1490,1540,18.03,95,2450,4.8
337,Maruti Suzuki,Dzire,Vdi,Maruti Suzuki Dzire Vdi,757622,1248,4,4,FWD,In-line,BS IV,37,Diesel,Sedan,1515,3995,1735,4,28.4,5,163,5,Manual,2,967,1490,1540,25,95,2450,4.8
398,Maruti Suzuki,Dzire,Vdi Amt,Maruti Suzuki Dzire Vdi Amt,804622,1248,4,4,FWD,In-line,BS IV,37,Diesel,Sedan,1515,3995,1735,4,28.4,5,163,5,Automatic,2,967,1490,1540,45,95,2450,4.8
412,Maruti Suzuki,Dzire,Zdi,Maruti Suzuki Dzire Zdi,816622,1248,4,4,FWD,In-line,BS IV,37,Diesel,Sedan,1515,3995,1735,4,28.4,5,163,5,Manual,2,978,1490,1540,87.23,95,2450,4.8
453,Maruti Suzuki,Dzire,Zdi Amt,Maruti Suzuki Dzire Zdi Amt,863122,1248,4,4,FWD,In-line,BS IV,37,Diesel,Sedan,1515,3995,1735,4,28.4,5,163,5,Automatic,2,978,1490,1540,18.25,95,2450,4.8
490,Maruti Suzuki,Dzire,Zdi Plus,Maruti Suzuki Dzire Zdi Plus,906122,1248,4,4,FWD,In-line,BS IV,37,Diesel,Sedan,1515,3995,1735,4,28.4,5,163,5,Manual,2,895,1490,1540,44.75,95,2450,4.8
532,Maruti Suzuki,Dzire,Zdi Plus Amt,Maruti Suzuki Dzire Zdi Plus Amt,952622,1248,4,4,FWD,In-line,BS IV,37,Diesel,Sedan,1515,3995,1735,4,28.4,5,163,5,Automatic,2,990,1490,1540,14.91,95,2450,4.8
284,Honda,Amaze,E Mt Diesel,Honda Amaze E Mt Diesel,705000,1498,4,4,FWD,In-line,BS VI,35,Diesel,Sedan,1498,3995,1695,4,27.4,5,170,5,Manual,2,993,1490,1540,18.75,114.29,2470,4.9
369,Honda,Amaze,S Mt Diesel,Honda Amaze S Mt Diesel,785000,1498,4,4,FWD,In-line,BS VI,35,Diesel,Sedan,1501,3995,1695,4,27.4,5,170,5,Manual,2,1010,1490,1540,32,114.29,2470,4.7
437,Honda,Amaze,V Mt Diesel,Honda Amaze V Mt Diesel,845000,1498,4,4,FWD,In-line,BS VI,35,Diesel,Sedan,1501,3995,1695,4,27.4,5,170,5,Manual,2,1021,1490,1540,46.13,114.29,2470,4.7
483,Honda,Amaze,Vx Mt Diesel,Honda Amaze Vx Mt Diesel,893000,1498,4,4,FWD,In-line,BS VI,35,Diesel,Sedan,1501,3995,1695,4,27.4,5,170,5,Manual,2,1023,1490,1540,68.8,114.29,2470,4.7
489,Honda,Amaze,Exclusive Edition Diesel,Honda Amaze Exclusive Edition Diesel,906000,1498,4,4,FWD,In-line,BS VI,35,Diesel,Sedan,1501,3995,1695,4,27.4,5,170,5,Manual,2,1023,1490,1540,105.07,114.29,2470,4.7
491,Honda,Amaze,Ace Edition Mt Diesel,Honda Amaze Ace Edition Mt Diesel,906300,1498,4,4,FWD,In-line,BS VI,35,Diesel,Sedan,1501,3995,1695,4,27.4,5,170,5,Manual,2,1023,1490,1540,44.75,114.29,2470,4.7
544,Honda,Amaze,Vx Cvt Diesel,Honda Amaze Vx Cvt Diesel,966000,1498,4,4,FWD,In-line,BS VI,35,Diesel,Sedan,1501,3995,1695,4,27.4,5,170,5,Automatic,2,1023,1490,1540,14.91,114.29,2470,4.7
557,Honda,Amaze,Ace Edition Cvt Diesel,Honda Amaze Ace Edition Cvt Diesel,979300,1498,4,4,FWD,In-line,BS VI,35,Diesel,Sedan,1501,3995,1695,4,27.4,5,170,5,Automatic,2,1023,1490,1540,32.8,114.29,2470,4.7
245,Maruti Suzuki,Baleno,1.3,Maruti Suzuki Baleno 1.3,668611,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1500,3995,1745,5,27.39,5,170,5,Manual,2,960,1515,1525,27.78,95,2520,4.9
324,Maruti Suzuki,Baleno,1.3,Maruti Suzuki Baleno 1.3,746621,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1510,3995,1745,5,27.39,5,170,5,Manual,2,970,1515,1525,13.83,95,2520,4.9
400,Maruti Suzuki,Baleno,1.3,Maruti Suzuki Baleno 1.3,807921,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1500,3995,1745,5,27.39,5,170,5,Manual,2,980,1505,1515,44.91,95,2520,4.9
459,Maruti Suzuki,Baleno,1.3,Maruti Suzuki Baleno 1.3,868221,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1500,3995,1745,5,27.39,5,170,5,Manual,2,985,1505,1515,28.75,95,2520,4.9
180,Maruti Suzuki,Swift,Ldi,Maruti Suzuki Swift Ldi,599000,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1530,3840,1735,5,25.2,5,163,5,Manual,2,955,1530,1530,14.77,95,2430,4.8
275,Maruti Suzuki,Swift,Vdi,Maruti Suzuki Swift Vdi,698000,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1530,3840,1735,5,25.2,5,165,5,Manual,2,965,1530,1530,22.5,95,2450,4.8
322,Maruti Suzuki,Swift,Vdi Amt,Maruti Suzuki Swift Vdi Amt,745000,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1530,3840,1735,5,25.2,5,165,5,Automatic,2,965,1530,1530,16.67,95,2450,4.8
336,Maruti Suzuki,Swift,Zdi,Maruti Suzuki Swift Zdi,757000,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1530,3840,1735,5,25.2,5,163,5,Manual,2,975,1520,1520,46.25,95,2450,4.8
396,Maruti Suzuki,Swift,Zdi Amt,Maruti Suzuki Swift Zdi Amt,804000,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1530,3840,1735,5,25.2,5,163,5,Automatic,2,975,1520,1520,45.45,95,2450,4.8
433,Maruti Suzuki,Swift,Zdi Plus,Maruti Suzuki Swift Zdi Plus,838000,1248,4,4,FWD,In-line,BS IV,37,Diesel,Hatchback,1530,3840,1735,5,25.2,5,163,5,Manual,2,985,1520,1520,46.13,95,2450,4.8
