,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Height,Length,Width,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Seating_Capacity,Type,Airbags,Kerb_Weight,Front_Track,Rear_Track,Power,Torque,Wheelbase,Minimum_Turning_Radius
0,Tata,Nano Genx,Xe,236447,624,2,2,RWD,In-line,BS IV,24,Petrol,Hatchback,1652,3164,1750,5,23.6,4,180,4,Manual,2,725,1325,1315,93.54,12.75,2230,4
1,Bajaj,Qute (Re60),Qcar,263000,216,4,1,RWD,In-line,BS IV,45,Petrol,Hatchback,1652,2752,1312,4,35,5,165,4,Manual,2,1785,1143,1540,85.32,4.73,1925,3.5
2,Tata,Nano Genx,Xm,272223,624,2,2,RWD,In-line,BS IV,24,Petrol,Hatchback,1652,3164,1750,5,23.6,4,180,4,Manual,2,725,1325,1315,84.21,12.75,2230,4
3,Datsun,Redi-Go,D,279650,799,3,4,FWD,In-line,BS IV,28,Petrol,Hatchback,1541,3429,1560,5,25.17,5,185,5,Manual,2,1785,1490,1540,35.75,16.42,2348,4.7
4,Maruti Suzuki,Omni,5,282778,796,3,2,RWD,In-line,BS IV,35,Petrol,MPV,1640,3370,1410,5,16.8,4,165,5,Manual,2,785,1205,1190,35.75,23.6,1840,4.1
5,Bajaj,Qute (Re60),Qcar Cng,283000,216,4,1,RWD,In-line,BS IV,45,CNG,Hatchback,1652,2752,1312,4,43,5,165,4,Manual,2,1785,1143,1540,25,4.03,1925,3.5
6,Renault,Kwid,0.8,283290,799,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,25.17,5,184,5,Manual,1,669,1490,1540,25,16.42,2442,5.2
7,Maruti Suzuki,Omni,8,284485,796,3,2,RWD,In-line,BS IV,36,Petrol,MPV,1640,3370,1410,5,16.8,4,165,8,Manual,2,785,1205,1190,42.45,23.6,1840,4.1
8,Tata,Nano Genx,Xt,292667,624,2,2,RWD,In-line,BS IV,24,Petrol,Hatchback,1652,3164,1750,5,23.6,4,180,4,Manual,2,660,1325,1315,42.14,12.75,2230,4
9,Maruti Suzuki,Alto,Std,294800,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,2,730,1295,1290,42.14,19.71,2360,5.2
10,Tata,Nano Genx,Emax Xm,296661,624,2,2,RWD,In-line,BS IV,15,CNG,Hatchback,1652,3164,1750,4,36,4,180,4,Manual,2,710,1325,1315,35.71,12.75,2230,4
11,Maruti Suzuki,Alto,Std (O),299900,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,2,732,1295,1290,30,19.71,2360,5.2
12,Tata,Nano Genx,Xma,314815,624,2,2,RWD,In-line,BS IV,24,Petrol,Hatchback,1652,3164,1750,5,21.9,5,180,4,Automatic,2,710,1325,1315,30,12.75,2230,4
13,Datsun,Redi-Go,A,333419,799,3,4,FWD,In-line,BS IV,28,Petrol,Hatchback,1541,3429,1560,5,25.17,5,185,5,Manual,2,1785,1490,1540,32.16,16.42,2348,4.7
14,Tata,Nano Genx,Xta,334768,624,2,2,RWD,In-line,BS IV,24,Petrol,Hatchback,1652,3164,1750,5,21.9,5,180,4,Automatic,2,725,1325,1315,49,12.75,2230,4
15,Datsun,Redi-Go,T,351832,799,3,4,FWD,In-line,BS IV,28,Petrol,Hatchback,1541,3429,1560,5,25.17,5,185,5,Manual,2,1785,1490,1540,49,16.42,2348,4.7
16,Maruti Suzuki,Eeco,5,352136,1196,4,4,RWD,In-line,BS VI,40,Petrol,MPV,1800,3675,1475,5,15,5,160,5,Manual,1,920,1280,1290,61.67,33.67,2350,4.5
17,Maruti Suzuki,Alto,Lxi,352900,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,2,755,1295,1290,78.95,19.71,2360,5.2
18,Renault,Kwid,0.8,353290,799,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,25.17,6,184,5,Manual,1,669,1490,1540,68,16.42,2422,5.2
19,Maruti Suzuki,800,H1,354235,796,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1475,3430,1490,5,23.7,5,160,5,Manual,2,720,1295,1290,68,19.71,2360,4.6
20,Maruti Suzuki,800,H1 (O),356559,796,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1475,3395,1490,5,24.7,5,160,5,Manual,1,720,1295,1290,73.94,19.71,2360,4.6
21,Maruti Suzuki,Alto,Lxi (O),357200,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,1,757,1295,1290,50,19.71,2360,5.2
22,Maruti Suzuki,Alto K10,Lx,360843,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1475,3545,1490,5,24.07,5,160,5,Manual,1,740,1295,1290,50,25.71,2360,4.6
23,Datsun,Redi-Go,S,362000,799,3,4,FWD,In-line,BS IV,28,Petrol,Hatchback,1541,3429,1560,5,25.17,5,185,5,Manual,2,1785,1490,1540,32.19,16.42,2348,4.7
24,Maruti Suzuki,S-Presso,Std,370500,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.4,5,165,5,Manual,1,726,1490,1540,32.21,25.71,2380,4.5
25,Datsun,Go,D,374990,1198,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1507,3788,1636,5,20.1,5,180,5,Manual,2,864,1440,1445,55.33,26,2450,4.6
26,Maruti Suzuki,Alto,Vxi,376100,796,3,4,FWD,In-line,BS VI,35,Petrol,Hatchback,1475,3445,1490,5,22.05,5,160,5,Manual,2,762,1295,1290,55.33,19.71,2360,5.2
27,Maruti Suzuki,S-Presso,Std (O),376500,998,3,4,FWD,In-line,BS VI,27,Petrol,Hatchback,1549,3565,1520,5,21.4,5,165,5,Manual,2,726,1490,1540,56,25.71,2380,4.5
28,Maruti Suzuki,Alto K10,Lxi,377588,998,3,4,FWD,In-line,BS IV,35,Petrol,Hatchback,1475,3545,1490,5,24.07,5,160,5,Manual,1,745,1295,1290,50.4,25.71,2360,4.6
29,Maruti Suzuki,Eeco,7,380573,1196,4,4,FWD,In-line,BS VI,40,Petrol,MPV,1800,3675,1475,5,15,5,160,7,Manual,1,940,1280,1290,55.33,33.67,2350,4.5
30,Renault,Kwid,0.8,383290,799,3,4,FWD,In-line,BS VI,28,Petrol,Hatchback,1490,3731,1579,5,25.17,5,184,5,Manual,1,669,1490,1540,50.4,16.42,2422,5.2
